stylophoran_taxa	year	origin	collection	authors	national authors
Ateleocystites_huxleyi	1858	Canada	Canada	Billings	local
Anomalocystites_cornutus	1859	USA	USA	Hall	local
Placocystites_forbesianus	1869	UK	UK	De Koninck	outside
Anatifopsis_acuta	1872	Czech Republic	Czech Republic	Barrande	local
Anatifopsis_bohemica	1872	Czech Republic	Czech Republic	Barrande	local
Anatifopsis_longa	1872	Czech Republic	Czech Republic	Barrande	local
Balanocystites_primus	1872	Czech Republic	Czech Republic	Barrande	local
Enoploura_balanoides	1872	USA	USA	Meek	local
Protocystites_menevensis	1872	UK	UK	Hicks	local
Anatifopsis_ensifer	1887	Czech Republic	Czech Republic	Barrande	local
Barrandeocarpus_bohemicus	1887	Czech Republic	Czech Republic	Barrande	local
Lagynocystis_pyramidalis	1887	Czech Republic	Czech Republic	Barrande	local
Mitrocystella_incipiens	1887	Czech Republic	Czech Republic	Barrande	local
Mitrocystites_mitra	1887	Czech Republic	Czech Republic	Barrande	local
Ceratocystis_perneri	1901	Czech Republic	Czech Republic	Jaekel	outside
Promitrocystites_barrandei	1901	Czech Republic	Czech Republic	Jaekel	outside
Anatifopsis_balclatchiensis	1907	UK	UK	Reed	local
Cothurnocystis_elizae	1913	UK	UK	Bather	local
Scotiaecystis_curvata	1913	UK	UK	Bather	local
Placocystella_africana	1925	South Africa	UK	Reed	outside
Enoploura_punctata	1932	USA	USA	Bassler	local
Rhenocystis_latipedunculata	1932	Germany	Germany	Dehm	local
Mitrocystites_Qt_styloideus	1934	Germany	Germany	Dehm	local
Anatifopsis_escandei	1935	France	France	Thoral	local
Anatifopsis_trapeziiformis	1935	France	France	Thoral	local
Arauricystis_primaeva	1935	France	France	Thoral	local
Peltocystis_cornuta	1935	France	France	Thoral	local
Phyllocystis_blayaci	1935	France	France	Thoral	local
Phyllocystis_crassimarginata	1935	France	France	Thoral	local
Aspidocarpus_riadanensis	1937	France	France	Chauvel	local
Anatifopsis_barrandei	1941	Czech Republic	Czech Republic	Chauvel	outside
Anatifopsis_minuta	1941	France	France	Chauvel	local
Anatifopsis_papillata	1943	USA	USA	Bassler	local
Enoploura_popei	1952	USA	USA	Caster	local
Paranacystis_petrii	1954	Brazil	Brazil	Caster	outside
Placocystella_langei	1954	Brazil	Brazil	Caster	outside
Anatifopsis_cocaban	1960	South Korea	Japan	Kobayashi	outside
Taebaekocystis_truncata	1960	South Korea	Japan	Kobayashi	outside
Victoriacystis_wilkinsi	1960	Australia	Australia	Gill and Caster	local
Chinianocarpos_thorali	1961	France	France	Ubaghs	outside
Dalejocystis_casteri	1963	Czech Republic	Czech Republic	Prokop	local
Nevadaecystis_americana	1963	USA	USA	Ubaghs	outside
Chauvelicystis_ubaghsi	1966	Morocco	France	Chauvel	outside
Bohemiaecystis_bouceki	1968	Czech Republic	Czech Republic	Caster	outside
Placocystella_flemingi	1968	New Zealand	New Zealand	Caster and Gill	outside
Amygdalotheca_griffei	1970	France	France	Ubaghs	outside
Bohemiaecystis_griffei	1970	France	France	Ubaghs	outside
Chauvelicystis_spinosa	1970	France	France	Ubaghs	outside
Galliaecystis_lignieresi	1970	France	France	Ubaghs	outside
Persiacarpos_Qn_fellinensis	1970	France	France	Ubaghs	outside
Procothurnocystis_courtessolei	1970	France	France	Ubaghs	outside
Bohemiaecystis_zagoraensis	1971	Morocco	France	Chauvel	outside
Reticulocarpos_hanusi	1972	Czech Republic	Czech Republic	Jefferies and Prokop	local
Domfrontia_pissotensis	1977	France	France	Chauvel and Nion	local
Anatifopsis_spinosa	1979	Czech Republic	Germany	Ubaghs	outside
Aspidocarpus_bohemicus	1979	Czech Republic	Germany	Ubaghs	outside
Barrandeocarpus_jaekeli	1979	Czech Republic	Germany	Ubaghs	outside
Diamphidiocystis_drepanon	1979	USA	USA	Kolata and Guensburg	local
Placocystella_garratti	1981	Australia	Australia	Philip	local
Willmanocystis_denticulata	1982	USA	USA	Kolata and Jollie	local
Placocystella_buretti	1983	Australia	Australia	Caster	outside
Proscotiaecystis_melchiori	1983	France	France	Ubaghs	outside
Phyllocystis_Qt_jingxiensis	1985	China	China	Han and Chen	local
Milonicystis_kerfornei	1986	France	France	Chauvel	local
Archaeocothurnus_bifida	1988	USA	USA	Ubaghs	outside
Scotiaecystis_collapsa	1988	UK	UK	Cripps	local
Barrandeocarpus_norvegicus	1989	Norway	UK	Craske and Jefferies	outside
Galliaecystis_ubaghsi	1989	France	France	Cripps	outside
Hanusia_obtusa	1989	Czech Republic	Czech Republic	Cripps	outside
Hanusia_prilepensis	1989	Czech Republic	Czech Republic	Cripps	outside
Hanusia_sarkensis	1989	Czech Republic	Czech Republic	Cripps	outside
Prokopicystis_mergli	1989	Czech Republic	Czech Republic	Cripps	outside
Anatifopsis_ancora	1990	Spain	Spain	Dominguez and Gutierrez-Marco	local
